ledger_id,vendor_name,amount,txn_date,reference_id,description
LED-000092,Ola Cabs Private Limited,23499.22,2026-06-21,RZP4331294210,Subscription charge RZP4331294210
LED-000093,Urban Company Technologies Private Limited,208804.69,2026-05-15,RZP0371318781,Payment for invoice RZP0371318781
LED-000094,Nykaa E-Retail Private Limited,169139.28,2026-03-02,RZP9677229791,Subscription charge RZP9677229791
LED-000095,Flipkart Internet Ltd,115500.74,2026-03-14,RZP7541168043,Subscription charge RZP7541168043
LED-000096,Ola Cabs Private Limited,212813.84,2026-03-14,RZP0145809889,Service fee RZP0145809889
LED-000097,ANI Technologies Ola,93584.28,2026-04-09,RZP9309867128,Payment for invoice RZP9309867128
LED-000098,BigBasket Innovative Retail Concepts,112233.08,2026-01-02,RZP9021964721,Subscription charge RZP9021964721
LED-000099,Meesho Fashnear Technologies,114359.84,2026-01-29,RZP8456572035,Vendor payout RZP8456572035
LED-000100,Infosys Limited,130942.62,2026-04-03,RZP0559534692,Subscription charge RZP0559534692
LED-000101,Infosys Limited,86298.9,2026-06-18,RZP6773058174,Vendor payout RZP6773058174
LED-000102,BHARTI AIRTEL LIMITED,202902.7,2026-01-17,RZP7902783338,Service fee RZP7902783338
LED-000103,Larsen & Toubro Limited,71634.81,2026-01-13,RZP8313878394,Service fee RZP8313878394
LED-000104,Ola Cabs Private Limited,66790.17,2026-01-22,RZP7068530636,Subscription charge RZP7068530636
LED-000105,Flipkart Internet Private Limited,87984.01,2026-01-11,RZP7964670645,Payment for invoice RZP7964670645
LED-000106,Reliance Industries Limited,35823.45,2026-06-05,RZP6412639014,Subscription charge RZP6412639014
LED-000107,Infosys Limited,143544.36,2026-05-16,RZP3329015917,Vendor payout RZP3329015917
LED-000108,Meesho Fashnear Technologies,71501.38,2026-05-06,RZP2101798996,Payment for invoice RZP2101798996
LED-000109,Urban Company Technologies Pvt Ltd,72697.02,2026-03-18,RZP8796751217,Order settlement RZP8796751217
LED-000110,Cred Dreamplug Technologies Private Limited,92322.45,2026-05-22,RZP1803744451,Vendor payout RZP1803744451
LED-000111,Flipkart Internet Private Limited,116538.42,2026-05-13,RZP3876194901,Service fee RZP3876194901
LED-000112,Bharti Airtel Limited,80766.79,2026-02-27,RZP3988265135,Merchant settlement batch RZP3988265135
LED-000113,CRED DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,235410.51,2026-02-09,RZP1693908097,Order settlement RZP1693908097
LED-000114,Cred Dreamplug Technologies Private Limited,104234.21,2026-06-13,RZP0856328446,Subscription charge RZP0856328446
LED-000115,BigBasket Innovative Retail Concepts,116190.87,2026-03-29,RZP6377891353,Vendor payout RZP6377891353
LED-000116,Flipkart Internet Private Limited,62092.53,2026-01-25,RZP0984998971,Vendor payout RZP0984998971
LED-000117,Ola Cabs Private Limited,116783.76,2026-03-20,RZP4034250258,Vendor payout RZP4034250258
LED-000118,Urban Company Technologies Private Limited,2193.12,2026-01-28,RZP4877345150,Merchant settlement batch RZP4877345150
LED-000119,Urban Company Technologies Private Limited,70038.21,2026-06-09,RZP6193739715,Subscription charge RZP6193739715
LED-000120,Tata Consultancy Services,34388.54,2026-03-27,RZP8518193368,Subscription charge RZP8518193368
LED-000121,Ola Cabs Pvt Ltd,133155.11,2026-05-25,RZP2836957760,Service fee RZP2836957760
LED-000122,Cred Dreamplug Technologies Private Limited,144471.95,2026-01-14,RZP5166816091,Merchant settlement batch RZP5166816091
LED-000123,PhonePe Private Limited,37985.1,2026-06-26,RZP2564877559,Vendor payout RZP2564877559
LED-000124,Zomato Limited,239177.87,2026-04-28,RZP9337766612,Payment for invoice RZP9337766612
LED-000125,Mahindra & Mahindra Limited,192827.89,2026-02-23,RZP6445972558,Vendor payout RZP6445972558
LED-000126,ICICI Bank Limited,72719.6,2026-03-15,RZP9096728252,Service fee RZP9096728252
LED-000127,Cred Dreamplug Technologies Private Limited,59934.62,2026-01-13,RZP6560471705,Payment for invoice RZP6560471705
LED-000128,BigBasket Innovative Retail Concepts,119440.51,2026-02-21,RZP7220762780,Merchant settlement batch RZP7220762780
LED-000129,Bharti Airtel Ltd,233490.56,2026-01-10,RZP9349998051,Subscription charge RZP9349998051
LED-000130,Urban Company Technologies Private Limited,131150.99,2026-02-04,RZP8411142177,Order settlement RZP8411142177
LED-000131,Larsen & Toubro Limited,43997.4,2026-06-13,RZP8850611322,Order settlement RZP8850611322
LED-000132,Adani Enterprises Ltd,238515.6,2026-03-19,RZP5523264169,Service fee RZP5523264169
LED-000133,HDFC Bank Ltd,159732.02,2026-03-17,RZP3294493797,Payment for invoice RZP3294493797
LED-000134,WIPRO,170133.43,2026-06-02,RZP8047050555,Vendor payout RZP8047050555
LED-000135,Ola Cabs Private Limited,110543.86,2026-06-24,RZP2505845404,Service fee RZP2505845404
LED-000136,Swiggy Bundl Technologies Private Limited,63726.14,2026-01-01,RZP7503099090,Vendor payout RZP7503099090
LED-000137,ICICI Bank Ltd,191492.05,2026-06-15,RZP9384930981,Vendor payout RZP9384930981
LED-000138,Urban Company Technologies Private Limited,98355.7,2026-02-02,RZP7200265582,Vendor payout RZP7200265582
LED-000139,L&T Ltd,234361.98,2026-01-29,RZP0669820546,Order settlement RZP0669820546
LED-000140,Tata Consultancy Services,100656.0,2026-03-01,RZP5771929557,Service fee RZP5771929557
LED-000141,ICICI Bank Limited,246426.04,2026-05-14,RZP2309896449,Order settlement RZP2309896449
LED-000142,Ola Cabs Private Limited,79785.8,2026-04-17,RZP4215228140,Service fee RZP4215228140
LED-000143,Urban Company Technologies Private Limited,132568.45,2026-04-10,RZP2269807126,Service fee RZP2269807126
LED-000144,Infosys Limited,47162.6,2026-05-31,RZP7548390991,Order settlement RZP7548390991
LED-000145,Wipro Limited,173952.23,2026-02-22,RZP3232463384,Payment for invoice RZP3232463384
LED-000146,Zomato Online Ordering Ltd,228595.48,2026-04-05,RZP3087055721,Subscription charge RZP3087055721
LED-000147,Wipro Ltd,124900.48,2026-06-17,RZP9374774731,Subscription charge RZP9374774731
LED-000148,Urban Company Technologies Private Limited,247582.34,2026-01-16,RZP5808001601,Subscription charge RZP5808001601
LED-000149,Nykaa E-Retail Private Limited,15253.46,2026-06-13,RZP6644050529,Subscription charge RZP6644050529
LED-000150,PhonePe Private Limited,201571.0,2026-02-15,RZP1011582334,Subscription charge RZP1011582334
LED-000151,Wipro Limited,75098.66,2026-01-21,RZP6870350014,Subscription charge RZP6870350014
LED-000152,Zomato Limited,141529.28,2026-01-25,RZP8929652962,Service fee RZP8929652962
LED-000154,Zomato Limited,96053.98,2026-02-05,RZP7607302066,Service fee RZP7607302066
LED-000155,Zomato Limited,7551.97,2026-03-11,RZP7425315372,Payment for invoice RZP7425315372
LED-000156,Infosys Limited,67102.81,2026-04-08,RZP7673103321,Order settlement RZP7673103321
LED-000158,Wipro Ltd,143054.31,2026-02-13,RZP6122112273,Vendor payout RZP6122112273
LED-000160,ICICI Bank Limited,75213.76,2026-06-04,RZP9239926452,Merchant settlement batch RZP9239926452
LED-000161,Swiggy Bundl Technologies Private Limited,91349.13,2026-05-25,RZP1917079278,Payment for invoice RZP1917079278
LED-000162,PHONEPE PRIVATE LIMITED,168293.47,2026-02-05,RZP6267709445,Service fee RZP6267709445
LED-000163,Tata Consultancy Services,197711.62,2026-04-03,RZP7859126165,Service fee RZP7859126165
LED-000164,Swiggy Bundl Technologies Pvt Ltd,241707.76,2026-03-26,RZP9402555543,Payment for invoice RZP9402555543
LED-000165,Ola Cabs Private Limited,37813.62,2026-01-07,RZP4290873375,Merchant settlement batch RZP4290873375
LED-000166,Flipkart Internet Pvt Ltd,180540.19,2026-04-26,RZP3381866192,Merchant settlement batch RZP3381866192
LED-000167,ZOMATO,140028.26,2026-04-29,RZP2416406153,Service fee RZP2416406153
LED-000168,Adani Enterprises Ltd,188118.53,2026-01-17,RZP5753116493,Vendor payout RZP5753116493
LED-000169,Cred Dreamplug Technologies Private Limited,28690.88,2026-04-01,RZP8687260113,Merchant settlement batch RZP8687260113
LED-000170,ICICI Bank Limited,127779.59,2026-04-18,RZP5544599112,Order settlement RZP5544599112
LED-000171,Flipkart Internet Private Limited,154909.58,2026-04-02,RZP9413564474,Order settlement RZP9413564474
LED-000172,Reliance Industries Limited,199000.84,2026-02-26,RZP2251477511,Vendor payout RZP2251477511
LED-000173,Nykaa E-Retail Private Limited,135579.54,2026-01-11,RZP7424762802,Vendor payout RZP7424762802
LED-000174,HDFC Bank Limited,193941.57,2026-03-02,RZP2768646788,Vendor payout RZP2768646788
LED-000176,ICICI Bank Limited,175401.42,2026-02-03,RZP2787645244,Service fee RZP2787645244
LED-000177,Infosys Limited,100802.27,2026-03-13,RZP6844588096,Service fee RZP6844588096
LED-000178,Infosys Limited,198950.13,2026-04-12,RZP2422835543,Merchant settlement batch RZP2422835543
LED-000179,Tata Consultancy Services,25028.75,2026-04-28,RZP0914949983,Merchant settlement batch RZP0914949983
LED-000180,NYKAA,62709.76,2026-04-06,RZP6606774002,Vendor payout RZP6606774002
LED-000181,Wipro Limited,129933.15,2026-04-24,RZP0689410371,Vendor payout RZP0689410371
LED-000182,Mahindra & Mahindra Ltd,34411.75,2026-02-04,RZP6605613279,Merchant settlement batch RZP6605613279
LED-000183,Larsen & Toubro Limited,21809.01,2026-01-26,RZP1173472626,Service fee RZP1173472626
LED-000184,Reliance Industries Limited,211995.84,2026-06-18,RZP8261367723,Service fee RZP8261367723
LED-000185,Meesho Pvt Ltd,17892.35,2026-01-04,RZP9918536797,Payment for invoice RZP9918536797
LED-000186,Reliance Industries Limited,65656.99,2026-01-11,RZP9932774465,Vendor payout RZP9932774465
LED-000187,Mahindra & Mahindra Limited,19893.54,2026-02-22,RZP9135766349,Vendor payout RZP9135766349
LED-000188,Infosys Limited,231168.24,2026-01-30,RZP4637717719,Merchant settlement batch RZP4637717719
LED-000189,Adani Enterprises Limited,41865.69,2026-02-02,RZP7871834529,Payment for invoice RZP7871834529
LED-000190,Flipkart Internet Private Limited,127768.85,2026-01-15,RZP4532157250,Merchant settlement batch RZP4532157250
LED-000191,BIGBASKET INNOVATIVE RETAIL CONCEPTS,91089.53,2026-02-08,RZP1908762293,Service fee RZP1908762293
LED-000192,HDFC Bank Limited,125584.93,2026-01-14,RZP1899042835,Service fee RZP1899042835
LED-000193,Mahindra & Mahindra Limited,141017.11,2026-03-19,RZP7239977571,Payment for invoice RZP7239977571
LED-000195,ICICI BANK LIMITED,177956.37,2026-01-24,RZP0284847556,Service fee RZP0284847556
LED-000196,Cred Dreamplug Technologies Private Limited,15711.37,2026-06-19,RZP9223877320,Vendor payout RZP9223877320
LED-000197,Cred Dreamplug Technologies Pvt Ltd,27376.86,2026-01-28,RZP1445923211,Merchant settlement batch RZP1445923211
LED-000198,Meesho Fashnear Technologies,10226.4,2026-03-25,RZP1793028198,Payment for invoice RZP1793028198
LED-000199,Wipro Limited,23817.11,2026-01-27,RZP8108918366,Payment for invoice RZP8108918366
LED-000200,Infosys Limited,5596.78,2026-01-17,RZP1680881909,Payment for invoice RZP1680881909
LED-000202,BigBasket Innovative Retail Concepts,15385.62,2026-03-13,RZP3467295037,Merchant settlement batch RZP3467295037
LED-000203,BigBasket Innovative Retail Concepts,86106.92,2026-05-25,RZP5313287095,Merchant settlement batch RZP5313287095
LED-000204,WIPRO,243498.87,2026-01-26,RZP2257779593,Service fee RZP2257779593
LED-000205,Cred Dreamplug Technologies Private Limited,79603.39,2026-06-28,RZP3573519889,Payment for invoice RZP3573519889
LED-000206,BigBasket Innovative Retail Concepts,9635.24,2026-01-15,RZP2250921798,Vendor payout RZP2250921798
LED-000207,ICICI Bank Limited,146714.3,2026-02-06,RZP7889393131,Subscription charge RZP7889393131
LED-000208,PhonePe Private Limited,197991.85,2026-05-05,RZP6196972513,Merchant settlement batch RZP6196972513
LED-000209,Bharti Airtel Limited,182248.41,2026-06-29,RZP9399069925,Subscription charge RZP9399069925
LED-000210,Infosys Limited,59613.28,2026-03-23,RZP1807684220,Vendor payout RZP1807684220
LED-000211,Reliance Industries Limited,12179.64,2026-04-23,RZP7984351486,Order settlement RZP7984351486
LED-000213,BigBasket Innovative Retail Concepts,176170.49,2026-04-21,RZP9181121677,Payment for invoice RZP9181121677
LED-000214,Mahindra & Mahindra Limited,59501.44,2026-01-13,RZP3540008640,Subscription charge RZP3540008640
LED-000215,Mahindra & Mahindra Limited,244267.87,2026-05-02,RZP8334605183,Merchant settlement batch RZP8334605183
LED-000216,Flipkart Internet Private Limited,116344.73,2026-02-27,RZP8516068472,Merchant settlement batch RZP8516068472
LED-000217,Ola Cabs Private Limited,104745.22,2026-05-18,RZP6952238055,Subscription charge RZP6952238055
LED-000218,Meesho Fashnear Technologies,36989.8,2026-04-25,RZP1998149496,Subscription charge RZP1998149496
LED-000219,INFOSYS LIMITED,21893.81,2026-05-23,RZP3324876544,Subscription charge RZP3324876544
LED-000220,Cred Dreamplug Technologies Private Limited,189630.59,2026-01-26,RZP9512534346,Merchant settlement batch RZP9512534346
LED-000221,Swiggy Bundl Technologies Private Limited,36091.59,2026-06-05,RZP6438604233,Order settlement RZP6438604233
LED-000224,Larsen & Toubro Limited,209268.62,2026-03-05,RZP0031343962,Merchant settlement batch RZP0031343962
LED-000225,Bharti Airtel Limited,240136.02,2026-05-02,RZP5318762315,Subscription charge RZP5318762315
LED-000226,Wipro Limited,169472.16,2026-03-10,RZP6589641182,Merchant settlement batch RZP6589641182
LED-000227,M&M Ltd,178228.21,2026-06-14,RZP2884235650,Merchant settlement batch RZP2884235650
LED-000228,Nykaa E-Retail Private Limited,140430.06,2026-06-02,RZP6210968278,Order settlement RZP6210968278
LED-000229,Ola Cabs Private Limited,191403.78,2026-01-15,RZP8866676924,Vendor payout RZP8866676924
LED-000231,Bharti Airtel Limited,73551.95,2026-05-01,RZP1287163037,Payment for invoice RZP1287163037
LED-000232,Zomato Limited,93014.86,2026-05-30,RZP2848590858,Subscription charge RZP2848590858
LED-000234,Zomato Lmiited,158679.57,2026-01-02,RZP4275177144,Vendor payout RZP4275177144
LED-000235,Swiggy Bundl Technologies Private Limited,1316.58,2026-05-17,RZP1303816626,Service fee RZP1303816626
LED-000236,HDFC Bank Limited,95980.09,2026-05-31,RZP3009455461,Merchant settlement batch RZP3009455461
LED-000237,Larsen & Toubro Limited,41346.14,2026-04-14,RZP0292051773,Vendor payout RZP0292051773
LED-000238,Urban Company Technologies Private Limited,155840.22,2026-06-02,RZP9660643541,Merchant settlement batch RZP9660643541
LED-000239,Reliance Industries Limited,75383.95,2026-06-19,RZP1567485627,Order settlement RZP1567485627
LED-000242,Mahindra & Mahindra Limited,90149.63,2026-06-23,RZP3707086134,Merchant settlement batch RZP3707086134
LED-000243,Infosys Limited,93249.64,2026-03-29,RZP1492387671,Order settlement RZP1492387671
LED-000245,HDFC Bank Limited,221915.34,2026-04-23,RZP0237675596,Service fee RZP0237675596
LED-000246,Meesho Fashnear Technologies,23946.25,2026-06-19,RZP7466188609,Order settlement RZP7466188609
LED-000247,BigBasket Innovative Retail Concepts,217373.5,2026-01-20,RZP7332553804,Payment for invoice RZP7332553804
LED-000248,BigBasket Pvt Ltd,111849.97,2026-01-31,RZP9704058796,Service fee RZP9704058796
LED-000249,Flipkart Internet Private Limited,237596.23,2026-04-04,RZP8883757340,Service fee RZP8883757340
LED-000250,Zomato Limited,88881.47,2026-06-12,RZP9257011771,Subscription charge RZP9257011771
LED-000251,HDFC Bank Ltd,232564.53,2026-04-11,RZP2813706618,Service fee RZP2813706618
LED-000252,Ola Cabs Private Limited,33788.81,2026-05-08,RZP0754597961,Service fee RZP0754597961
LED-000253,Meesho Fashnear Technologies,151599.27,2026-03-24,RZP5399729941,Payment for invoice RZP5399729941
LED-000254,Ola Cabs Private Limited,74833.45,2026-06-29,RZP5375227691,Order settlement RZP5375227691
LED-000255,Bharti Airtel Limited,126047.78,2026-06-27,RZP6775597685,Payment for invoice RZP6775597685
LED-000256,Ola Cabs Private Limited,26751.65,2026-04-08,RZP1617122862,Vendor payout RZP1617122862
LED-000258,Swiggy Bundl Technologies Pvt Ltd,104229.07,2026-06-25,RZP3502678897,Subscription charge RZP3502678897
LED-000259,Cred Dreamplug Technologies Private Limited,136721.79,2026-06-04,RZP1714909710,Subscription charge RZP1714909710
LED-000260,ICICI Bank Limited,40358.07,2026-03-07,RZP0490957683,Service fee RZP0490957683
LED-000261,Infosys Limited,196040.26,2026-03-23,RZP5957154386,Payment for invoice RZP5957154386
LED-000262,Larsen & Toubro Limited,237584.52,2026-06-08,RZP5989064966,Merchant settlement batch RZP5989064966
LED-000263,Zomato Limited,95435.95,2026-01-30,RZP3529838408,Subscription charge RZP3529838408
LED-000265,PHONEPE,161693.31,2026-01-19,RZP7143007552,Payment for invoice RZP7143007552
LED-000266,Flipkart Internet Private Limited,157609.78,2026-04-21,RZP3310707083,Order settlement RZP3310707083
LED-000267,Mahindra & Mahindra Limited,151700.48,2026-03-14,RZP7436451375,Vendor payout RZP7436451375
LED-000268,Nykaa E-Retail Private Limited,239354.3,2026-01-03,RZP5510559379,Order settlement RZP5510559379
LED-000269,Ola Cabs Private Limited,35742.41,2026-02-17,RZP2811788994,Order settlement RZP2811788994
LED-000270,Infosys Limited,62784.3,2026-02-20,RZP7431616934,Vendor payout RZP7431616934
LED-000271,Cred Dreamplug Technologies Private Limited,38225.88,2026-05-26,RZP3340227481,Subscription charge RZP3340227481
LED-000272,BigBasket Innovative Retail Concepts,115792.67,2026-04-02,RZP7416028817,Vendor payout RZP7416028817
LED-000273,Infosys Limited,223042.48,2026-05-10,RZP6857202856,Order settlement RZP6857202856
LED-000274,Wipro Limited,222875.67,2026-05-31,RZP7245356886,Merchant settlement batch RZP7245356886
LED-000275,ICICI Bank Limited,111638.18,2026-02-15,RZP5581790722,Order settlement RZP5581790722
LED-000276,Larsen & Toubro Limited,129543.62,2026-04-03,RZP3980619627,Merchant settlement batch RZP3980619627
LED-000278,Reliance Industries Limited,125533.97,2026-02-05,RZP4252116864,Payment for invoice RZP4252116864
LED-000279,BigBasket Innovative Retail Concepts,168856.07,2026-05-03,RZP2180051605,Service fee RZP2180051605
LED-000280,Bharti Airtel Limited,129232.68,2026-04-14,RZP5507620498,Service fee RZP5507620498
LED-000281,PhonePe Private Limited,150269.55,2026-05-30,RZP8162734523,Service fee RZP8162734523
LED-000282,Ola Cabs Private Limited,214918.98,2026-05-10,RZP6861958570,Subscription charge RZP6861958570
LED-000283,Meesho Fashnear Technologies,134890.6,2026-01-01,RZP8765305287,Service fee RZP8765305287
LED-000284,Cred Dreamplug Technologies Private Limited,24564.57,2026-02-04,RZP2790552070,Payment for invoice RZP2790552070
LED-000285,Reliance Industries Limited,93851.22,2026-02-22,RZP6331628432,Order settlement RZP6331628432
LED-000286,Larsen & Toubro Limited,103395.06,2026-05-23,RZP4352337786,Vendor payout RZP4352337786
LED-000287,Bharti Airtel Limited,25204.61,2026-05-11,RZP4356719001,Service fee RZP4356719001
